epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8605.67,0.92122,0.9059,1.39619,0.83548,0.84833,0.89394,0.71116,0.62437,0.47887,1.18609,0.0005941,0.0005941,0.0005941
43,8813.33,0.91965,0.90458,1.39405,0.83817,0.85045,0.89521,0.71347,0.61949,0.47321,1.18062,0.0005842,0.0005842,0.0005842
44,9022.31,0.9128,0.89589,1.39156,0.84184,0.85108,0.89634,0.71557,0.61479,0.46786,1.17546,0.0005743,0.0005743,0.0005743
45,9227.5,0.90577,0.88678,1.38613,0.84491,0.85186,0.89753,0.71781,0.61036,0.46218,1.17038,0.0005644,0.0005644,0.0005644
46,9432.65,0.91063,0.89063,1.3827,0.84793,0.85139,0.89878,0.7202,0.6058,0.45713,1.16529,0.0005545,0.0005545,0.0005545
47,9640.48,0.9046,0.88045,1.37814,0.84993,0.85296,0.90004,0.72246,0.60141,0.45179,1.16025,0.0005446,0.0005446,0.0005446
48,9848.22,0.8996,0.87516,1.3749,0.85322,0.85297,0.90107,0.72468,0.59664,0.44667,1.15496,0.0005347,0.0005347,0.0005347
49,10051.5,0.89683,0.87117,1.37334,0.85721,0.85273,0.90183,0.72676,0.5922,0.44189,1.14999,0.0005248,0.0005248,0.0005248
50,10253.8,0.89281,0.86567,1.37049,0.86008,0.85298,0.90276,0.72941,0.58807,0.43703,1.14527,0.0005149,0.0005149,0.0005149
51,10454.1,0.88716,0.86159,1.36576,0.86173,0.85511,0.90344,0.73093,0.58449,0.43221,1.14104,0.000505,0.000505,0.000505
52,10657.5,0.88126,0.85125,1.36043,0.86376,0.85702,0.90468,0.73281,0.58053,0.42739,1.13656,0.0004951,0.0004951,0.0004951
53,10860,0.87949,0.84938,1.35848,0.86492,0.85896,0.90565,0.73512,0.57656,0.42303,1.13194,0.0004852,0.0004852,0.0004852
54,11064.1,0.8788,0.84323,1.35667,0.86568,0.86006,0.90661,0.73709,0.57255,0.41837,1.12722,0.0004753,0.0004753,0.0004753
55,11269.3,0.8727,0.83674,1.35256,0.86489,0.86185,0.90732,0.73935,0.56895,0.41408,1.12303,0.0004654,0.0004654,0.0004654
56,11471.2,0.87639,0.83468,1.35381,0.87006,0.86136,0.90776,0.74101,0.56539,0.41017,1.11886,0.0004555,0.0004555,0.0004555
57,11673.1,0.86623,0.82349,1.34762,0.87054,0.86212,0.9082,0.74287,0.56223,0.40617,1.11527,0.0004456,0.0004456,0.0004456
58,11878.4,0.86378,0.82417,1.34326,0.87091,0.86388,0.9092,0.74435,0.55917,0.40208,1.11158,0.0004357,0.0004357,0.0004357
59,12082,0.8614,0.82335,1.34274,0.87136,0.86541,0.91032,0.74556,0.55591,0.39841,1.10777,0.0004258,0.0004258,0.0004258
60,12288.5,0.85712,0.81514,1.33817,0.87285,0.86561,0.91131,0.74711,0.55291,0.39524,1.10423,0.0004159,0.0004159,0.0004159
61,12497.5,0.85704,0.81297,1.3382,0.87377,0.86685,0.91205,0.74889,0.55005,0.39191,1.10064,0.000406,0.000406,0.000406
62,12703.2,0.84888,0.80965,1.33331,0.87383,0.86827,0.9128,0.75016,0.54702,0.38852,1.09704,0.0003961,0.0003961,0.0003961
63,12908.8,0.85211,0.80907,1.33455,0.87454,0.86856,0.91288,0.75157,0.5438,0.38553,1.09343,0.0003862,0.0003862,0.0003862
64,13113.9,0.84778,0.7993,1.32915,0.87548,0.87044,0.91351,0.75266,0.54055,0.38235,1.08957,0.0003763,0.0003763,0.0003763
65,13320.3,0.84084,0.79208,1.32529,0.87592,0.87108,0.91449,0.75476,0.53727,0.37945,1.0858,0.0003664,0.0003664,0.0003664
66,13527.3,0.84388,0.79066,1.32543,0.87749,0.87097,0.91512,0.75593,0.53435,0.37651,1.08267,0.0003565,0.0003565,0.0003565
67,13739.1,0.83624,0.78607,1.32009,0.8774,0.87135,0.91551,0.7574,0.53152,0.37391,1.07947,0.0003466,0.0003466,0.0003466
68,13945.3,0.83596,0.78728,1.31896,0.87817,0.87254,0.91622,0.75885,0.52886,0.37142,1.07646,0.0003367,0.0003367,0.0003367
69,14148.3,0.83245,0.77826,1.31595,0.87845,0.87281,0.91658,0.75992,0.5264,0.36855,1.07361,0.0003268,0.0003268,0.0003268
70,14351.2,0.82803,0.77433,1.31591,0.87851,0.87391,0.91744,0.76112,0.52404,0.36579,1.07063,0.0003169,0.0003169,0.0003169
71,14554.1,0.83117,0.77405,1.31456,0.87886,0.87402,0.91786,0.76202,0.52167,0.36327,1.06774,0.000307,0.000307,0.000307
72,14756.1,0.82312,0.7706,1.30992,0.87828,0.87602,0.91848,0.76317,0.51956,0.36129,1.06521,0.0002971,0.0002971,0.0002971
73,14963.7,0.82128,0.76784,1.3107,0.87798,0.87835,0.91905,0.76397,0.51775,0.35925,1.06302,0.0002872,0.0002872,0.0002872
74,15170,0.81738,0.76286,1.30641,0.88121,0.87956,0.91992,0.76546,0.51513,0.35687,1.06001,0.0002773,0.0002773,0.0002773
75,15374,0.81245,0.75769,1.30024,0.88282,0.87943,0.92036,0.76673,0.51308,0.35469,1.05755,0.0002674,0.0002674,0.0002674
76,15580.2,0.81003,0.75345,1.30005,0.88311,0.88091,0.92084,0.76745,0.51116,0.35293,1.05524,0.0002575,0.0002575,0.0002575
77,15786,0.81309,0.7541,1.30067,0.88533,0.88127,0.92126,0.76841,0.50921,0.35083,1.05289,0.0002476,0.0002476,0.0002476
78,15993.5,0.80699,0.74428,1.29777,0.8842,0.88284,0.92128,0.76891,0.50721,0.34935,1.05065,0.0002377,0.0002377,0.0002377
79,16199.9,0.80911,0.75015,1.2996,0.88478,0.88271,0.92165,0.76977,0.50522,0.34747,1.04832,0.0002278,0.0002278,0.0002278
