epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.248,2.25829,3.31924,2.69044,0.40999,0.19464,0.15135,0.05761,2.09717,3.01616,2.96504,0.067013,0.000333202,0.000333202
2,457.674,1.81268,2.67758,2.24386,0.60631,0.32302,0.33367,0.16503,1.72413,2.31716,2.42617,0.0340064,0.000659937,0.000659937
3,671.814,1.62504,2.28055,2.05676,0.75526,0.40911,0.49053,0.27968,1.45658,1.65531,2.14231,0.000993159,0.000980072,0.000980072
4,884.43,1.49665,2.01005,1.93891,0.76965,0.46346,0.55856,0.33176,1.31651,1.41698,1.96559,0.0009703,0.0009703,0.0009703
5,1099.59,1.42058,1.84412,1.86348,0.66573,0.57507,0.62315,0.39573,1.19473,1.26391,1.83563,0.0009604,0.0009604,0.0009604
6,1310.23,1.3596,1.71701,1.80354,0.69934,0.58662,0.65615,0.42903,1.11727,1.08914,1.75013,0.0009505,0.0009505,0.0009505
7,1527.48,1.31925,1.63339,1.76699,0.71846,0.63654,0.69786,0.46401,1.06776,1.01496,1.69384,0.0009406,0.0009406,0.0009406
8,1746.75,1.28577,1.55952,1.7345,0.74226,0.65589,0.72345,0.48673,1.01683,0.94953,1.64109,0.0009307,0.0009307,0.0009307
9,1958.91,1.2552,1.49769,1.70744,0.76126,0.66526,0.74209,0.50989,0.97051,0.88732,1.58785,0.0009208,0.0009208,0.0009208
10,2168.01,1.23053,1.45448,1.6861,0.68649,0.7196,0.76503,0.53332,0.93789,0.85522,1.54674,0.0009109,0.0009109,0.0009109
11,2379.53,1.20916,1.40292,1.66133,0.7219,0.7402,0.78883,0.55306,0.90825,0.81063,1.51647,0.000901,0.000901,0.000901
12,2590.55,1.18878,1.35912,1.64468,0.7429,0.75143,0.80599,0.57183,0.87645,0.76942,1.48424,0.0008911,0.0008911,0.0008911
13,2797.83,1.16707,1.32205,1.62708,0.7616,0.76234,0.81672,0.58745,0.85233,0.72784,1.45615,0.0008812,0.0008812,0.0008812
14,3012.2,1.15768,1.30756,1.61507,0.76973,0.76871,0.82484,0.59898,0.82719,0.70455,1.42929,0.0008713,0.0008713,0.0008713
15,3227.44,1.14498,1.26981,1.59903,0.78513,0.77585,0.83329,0.60917,0.81207,0.68401,1.40777,0.0008614,0.0008614,0.0008614
16,3433.72,1.13243,1.24778,1.58836,0.78804,0.77887,0.83642,0.61722,0.78859,0.66426,1.38373,0.0008515,0.0008515,0.0008515
17,3646.1,1.1135,1.21506,1.57055,0.79029,0.79047,0.84531,0.6269,0.77621,0.6458,1.37021,0.0008416,0.0008416,0.0008416
18,3855.86,1.10527,1.1969,1.56473,0.7994,0.79604,0.85126,0.63411,0.76275,0.62503,1.35556,0.0008317,0.0008317,0.0008317
19,4065.34,1.09606,1.17977,1.55471,0.80324,0.79912,0.85462,0.64078,0.75134,0.61173,1.34207,0.0008218,0.0008218,0.0008218
20,4273.82,1.08382,1.15886,1.54584,0.80342,0.80299,0.85956,0.64783,0.73836,0.59848,1.32714,0.0008119,0.0008119,0.0008119
21,4489.82,1.07171,1.13525,1.53397,0.81331,0.79974,0.86151,0.65296,0.72818,0.58655,1.31489,0.000802,0.000802,0.000802
22,4708.21,1.05801,1.11302,1.52377,0.8165,0.80542,0.86509,0.65738,0.71852,0.57504,1.30436,0.0007921,0.0007921,0.0007921
23,4916.07,1.05562,1.10217,1.51501,0.8223,0.80684,0.86837,0.6628,0.71005,0.56307,1.29408,0.0007822,0.0007822,0.0007822
24,5123.29,1.04711,1.08851,1.50998,0.82197,0.81026,0.87018,0.66611,0.7021,0.55455,1.28534,0.0007723,0.0007723,0.0007723
25,5330.07,1.04332,1.07963,1.50473,0.82704,0.80983,0.8728,0.66955,0.69509,0.54519,1.27755,0.0007624,0.0007624,0.0007624
26,5539.2,1.03319,1.06133,1.49677,0.82657,0.81077,0.8751,0.67284,0.68932,0.5378,1.27085,0.0007525,0.0007525,0.0007525
27,5750.43,1.02608,1.05134,1.4883,0.82836,0.81313,0.87636,0.67635,0.68339,0.53104,1.26426,0.0007426,0.0007426,0.0007426
28,5966.97,1.01747,1.0335,1.47792,0.82913,0.81585,0.87878,0.67948,0.67764,0.52409,1.25769,0.0007327,0.0007327,0.0007327
29,6182.79,1.00625,1.02172,1.47169,0.83064,0.81681,0.88003,0.68225,0.67242,0.51708,1.25161,0.0007228,0.0007228,0.0007228
30,6389.87,1.00065,1.0078,1.46614,0.83521,0.81772,0.88181,0.68535,0.66718,0.51139,1.24578,0.0007129,0.0007129,0.0007129
31,6598.88,0.99901,1.00423,1.45983,0.83873,0.81755,0.88384,0.68805,0.66229,0.50499,1.23987,0.000703,0.000703,0.000703
32,6808.18,0.99277,0.99435,1.45846,0.84237,0.81779,0.88508,0.69077,0.65717,0.49904,1.23364,0.0006931,0.0006931,0.0006931
33,7017.97,0.98349,0.98082,1.45029,0.8407,0.82087,0.88634,0.69297,0.6526,0.49316,1.2279,0.0006832,0.0006832,0.0006832
34,7228.73,0.9778,0.9725,1.44293,0.84329,0.82315,0.88762,0.69563,0.64774,0.48778,1.22218,0.0006733,0.0006733,0.0006733
35,7440.08,0.97103,0.96501,1.43739,0.84572,0.82524,0.88885,0.69797,0.64234,0.48147,1.21618,0.0006634,0.0006634,0.0006634
36,7657.28,0.96792,0.95497,1.43163,0.8479,0.82605,0.89,0.70031,0.6367,0.47597,1.2095,0.0006535,0.0006535,0.0006535
37,7870.46,0.96349,0.94808,1.43063,0.85016,0.82881,0.89091,0.70299,0.63149,0.47065,1.20323,0.0006436,0.0006436,0.0006436
38,8082.31,0.95742,0.94082,1.42154,0.8481,0.83192,0.89226,0.70546,0.62665,0.46554,1.19726,0.0006337,0.0006337,0.0006337
39,8290.1,0.94868,0.92809,1.41511,0.85087,0.83438,0.89317,0.70759,0.62196,0.46038,1.19148,0.0006238,0.0006238,0.0006238
40,8498.64,0.94534,0.9182,1.41197,0.85248,0.83688,0.89426,0.71026,0.61717,0.45447,1.18559,0.0006139,0.0006139,0.0006139
41,8708.98,0.93836,0.91043,1.40672,0.85484,0.83839,0.89525,0.71248,0.6124,0.44906,1.17977,0.000604,0.000604,0.000604
42,8920.84,0.93442,0.9035,1.4032,0.85579,0.84036,0.89657,0.71459,0.60766,0.44372,1.17405,0.0005941,0.0005941,0.0005941
43,9137.27,0.9321,0.90009,1.4007,0.85585,0.84193,0.89754,0.71722,0.6032,0.43857,1.16853,0.0005842,0.0005842,0.0005842
44,9354.76,0.92573,0.88942,1.39794,0.85606,0.84489,0.89852,0.7195,0.59842,0.43371,1.16261,0.0005743,0.0005743,0.0005743
45,9564.82,0.91846,0.87914,1.39214,0.85743,0.84624,0.89976,0.72141,0.59371,0.42841,1.15665,0.0005644,0.0005644,0.0005644
46,9771.79,0.91947,0.88168,1.38719,0.85991,0.84747,0.90084,0.72424,0.58871,0.4235,1.15053,0.0005545,0.0005545,0.0005545
