epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8855.66,0.92805,0.91397,1.40061,0.84441,0.83972,0.88992,0.70969,0.61204,0.47563,1.17799,0.0005941,0.0005941,0.0005941
43,9065.89,0.92544,0.91274,1.39716,0.84786,0.83928,0.89054,0.7115,0.60791,0.47039,1.17291,0.0005842,0.0005842,0.0005842
44,9278.74,0.92,0.90206,1.39608,0.85173,0.84067,0.89148,0.71337,0.60395,0.46549,1.16805,0.0005743,0.0005743,0.0005743
45,9496.73,0.91078,0.89319,1.38855,0.85362,0.84229,0.89219,0.7156,0.59964,0.46047,1.16271,0.0005644,0.0005644,0.0005644
46,9703.97,0.91399,0.89916,1.38467,0.85267,0.84458,0.89321,0.71774,0.59511,0.45548,1.15736,0.0005545,0.0005545,0.0005545
47,9908.33,0.91153,0.88908,1.38498,0.85347,0.8446,0.89421,0.72026,0.59061,0.4505,1.15209,0.0005446,0.0005446,0.0005446
48,10111.5,0.90618,0.88269,1.38169,0.8559,0.84615,0.89549,0.72278,0.58576,0.44564,1.14664,0.0005347,0.0005347,0.0005347
49,10320.1,0.90182,0.87975,1.37873,0.85699,0.84877,0.8967,0.72467,0.58125,0.44092,1.14145,0.0005248,0.0005248,0.0005248
50,10525.6,0.89759,0.87113,1.37359,0.8615,0.84758,0.89802,0.72637,0.57704,0.43631,1.13653,0.0005149,0.0005149,0.0005149
51,10733.1,0.89382,0.86824,1.37078,0.86173,0.84971,0.89875,0.72838,0.57292,0.43161,1.13177,0.000505,0.000505,0.000505
52,10950.1,0.89042,0.8597,1.36757,0.86436,0.84842,0.89896,0.73042,0.56881,0.42716,1.12701,0.0004951,0.0004951,0.0004951
53,11159.5,0.88527,0.85727,1.36312,0.8634,0.85102,0.89992,0.73231,0.56479,0.423,1.12248,0.0004852,0.0004852,0.0004852
54,11366.9,0.88467,0.85352,1.3624,0.86643,0.85077,0.90093,0.73388,0.56095,0.41884,1.11788,0.0004753,0.0004753,0.0004753
55,11574,0.88006,0.84914,1.3574,0.86683,0.85258,0.9016,0.7355,0.55745,0.4153,1.11373,0.0004654,0.0004654,0.0004654
56,11785.3,0.88188,0.84689,1.35809,0.86736,0.85434,0.90199,0.73706,0.55381,0.41129,1.10967,0.0004555,0.0004555,0.0004555
57,11991,0.87081,0.83405,1.35241,0.87016,0.85573,0.90267,0.73888,0.54997,0.40779,1.10534,0.0004456,0.0004456,0.0004456
58,12202.3,0.87095,0.83347,1.35004,0.87099,0.85572,0.90335,0.74055,0.54631,0.40426,1.10116,0.0004357,0.0004357,0.0004357
59,12421.7,0.86783,0.83289,1.34911,0.87284,0.85625,0.90404,0.74267,0.54286,0.40141,1.09728,0.0004258,0.0004258,0.0004258
60,12635,0.8636,0.82319,1.34308,0.87441,0.85782,0.90495,0.74425,0.5391,0.39811,1.09312,0.0004159,0.0004159,0.0004159
61,12842.7,0.86284,0.81989,1.34228,0.87555,0.85907,0.90554,0.74584,0.53577,0.39479,1.08925,0.000406,0.000406,0.000406
62,13049.7,0.85424,0.81747,1.33764,0.87801,0.85789,0.90608,0.74726,0.53239,0.39148,1.08537,0.0003961,0.0003961,0.0003961
63,13261.1,0.86007,0.8196,1.34124,0.87867,0.85861,0.90655,0.74913,0.52902,0.3882,1.08141,0.0003862,0.0003862,0.0003862
64,13465.1,0.85663,0.80612,1.33654,0.88078,0.85951,0.90718,0.75072,0.52567,0.38525,1.0775,0.0003763,0.0003763,0.0003763
65,13672,0.84655,0.804,1.32953,0.88245,0.85984,0.90774,0.75209,0.52254,0.38198,1.0738,0.0003664,0.0003664,0.0003664
66,13887.2,0.84968,0.80078,1.33147,0.8823,0.86153,0.90836,0.75312,0.51952,0.37913,1.07027,0.0003565,0.0003565,0.0003565
67,14098,0.84494,0.79503,1.32556,0.87969,0.86355,0.90916,0.75454,0.51687,0.3766,1.06713,0.0003466,0.0003466,0.0003466
68,14304.1,0.84293,0.79866,1.32498,0.88014,0.86579,0.90985,0.75597,0.51439,0.37422,1.06432,0.0003367,0.0003367,0.0003367
69,14512,0.83906,0.79055,1.32253,0.88133,0.8671,0.91021,0.75664,0.51205,0.37195,1.06156,0.0003268,0.0003268,0.0003268
70,14718.9,0.83224,0.78582,1.32124,0.87924,0.86945,0.9107,0.75768,0.50992,0.36944,1.05882,0.0003169,0.0003169,0.0003169
71,14929.5,0.83537,0.78485,1.32,0.8778,0.87183,0.91151,0.75881,0.50754,0.3669,1.05581,0.000307,0.000307,0.000307
72,15140.1,0.83027,0.7778,1.31622,0.87581,0.87569,0.91233,0.76023,0.50516,0.36454,1.05292,0.0002971,0.0002971,0.0002971
73,15357.2,0.82638,0.77678,1.31518,0.87519,0.87662,0.91248,0.76094,0.50308,0.3626,1.05038,0.0002872,0.0002872,0.0002872
74,15572.1,0.82442,0.77165,1.31296,0.87646,0.876,0.91274,0.76177,0.50118,0.36079,1.04786,0.0002773,0.0002773,0.0002773
75,15783.2,0.81885,0.76695,1.30705,0.87705,0.87751,0.91306,0.76308,0.4992,0.35877,1.04526,0.0002674,0.0002674,0.0002674
76,15993.1,0.81585,0.76403,1.30479,0.8791,0.87661,0.91317,0.7638,0.49724,0.35672,1.04269,0.0002575,0.0002575,0.0002575
77,16202.5,0.81937,0.76445,1.30689,0.88144,0.87597,0.91362,0.76455,0.49555,0.35504,1.04048,0.0002476,0.0002476,0.0002476
78,16411.4,0.81259,0.75679,1.30326,0.88192,0.87739,0.91411,0.76563,0.49386,0.35295,1.03832,0.0002377,0.0002377,0.0002377
79,16622,0.81325,0.75993,1.30478,0.88285,0.87726,0.91459,0.76632,0.49225,0.3509,1.03633,0.0002278,0.0002278,0.0002278
80,16839.3,0.81077,0.754,1.30072,0.88338,0.8779,0.91484,0.76737,0.49066,0.34877,1.03442,0.0002179,0.0002179,0.0002179
81,17054.1,0.80787,0.75307,1.30161,0.88387,0.87924,0.91509,0.76837,0.48925,0.34725,1.03271,0.000208,0.000208,0.000208
82,17265.9,0.80587,0.74966,1.29923,0.88474,0.87952,0.91558,0.76938,0.48767,0.34541,1.03084,0.0001981,0.0001981,0.0001981
83,17472.5,0.80538,0.74536,1.29761,0.8864,0.87912,0.91582,0.76992,0.48619,0.34365,1.02902,0.0001882,0.0001882,0.0001882
84,17683.5,0.80489,0.74739,1.29562,0.88831,0.87849,0.91627,0.77062,0.48484,0.34203,1.02736,0.0001783,0.0001783,0.0001783
85,17897,0.80054,0.73922,1.29307,0.88712,0.88074,0.91681,0.7716,0.4832,0.34046,1.02552,0.0001684,0.0001684,0.0001684
86,18106.8,0.79927,0.73796,1.29151,0.88789,0.88067,0.91686,0.77242,0.48182,0.33873,1.02387,0.0001585,0.0001585,0.0001585
87,18319.8,0.7954,0.73146,1.28948,0.88832,0.88115,0.91734,0.77312,0.4805,0.33741,1.02223,0.0001486,0.0001486,0.0001486
88,18536.2,0.79696,0.73592,1.28997,0.88828,0.88082,0.91776,0.77374,0.47933,0.33601,1.02067,0.0001387,0.0001387,0.0001387
89,18745,0.7949,0.73308,1.28752,0.88855,0.88111,0.91788,0.77447,0.47816,0.3345,1.01924,0.0001288,0.0001288,0.0001288
90,18954.4,0.78758,0.72269,1.28312,0.88998,0.88116,0.9181,0.77479,0.47699,0.3333,1.01779,0.0001189,0.0001189,0.0001189
91,19154.2,0.61429,0.49751,1.17181,0.89094,0.88193,0.91841,0.77528,0.47548,0.33124,1.01606,0.000109,0.000109,0.000109
92,19354.2,0.59641,0.47049,1.1519,0.89193,0.88355,0.91871,0.77636,0.47345,0.32931,1.0137,9.91e-05,9.91e-05,9.91e-05
93,19551.3,0.58536,0.46193,1.14544,0.89193,0.88581,0.91932,0.77774,0.47134,0.32659,1.01128,8.92e-05,8.92e-05,8.92e-05
94,19751.9,0.58325,0.45438,1.14256,0.89239,0.88653,0.91981,0.77906,0.46877,0.32374,1.00846,7.93e-05,7.93e-05,7.93e-05
95,19956.8,0.57459,0.44918,1.13591,0.89277,0.88715,0.91997,0.78008,0.46655,0.32118,1.00602,6.94e-05,6.94e-05,6.94e-05
96,20160,0.57171,0.44538,1.13238,0.89143,0.889,0.92062,0.78077,0.4644,0.31867,1.00372,5.95e-05,5.95e-05,5.95e-05
97,20357.8,0.56692,0.43921,1.12886,0.8927,0.88906,0.92079,0.78209,0.46223,0.31608,1.00127,4.96e-05,4.96e-05,4.96e-05
98,20554.1,0.56734,0.43914,1.12953,0.89319,0.88972,0.92092,0.78322,0.46006,0.31347,0.99877,3.97e-05,3.97e-05,3.97e-05
99,20748.6,0.56252,0.43453,1.12573,0.89531,0.88961,0.92101,0.78408,0.45809,0.31088,0.99666,2.98e-05,2.98e-05,2.98e-05
100,20945,0.55975,0.43429,1.12361,0.89612,0.88951,0.92139,0.78523,0.45651,0.30897,0.99483,1.99e-05,1.99e-05,1.99e-05
